Airport_Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz_database_timezone,Type
Conceição do Araguaia Airport,Conceicao Do Araguaia,Brazil,CDJ,SBAA,-8.348349571,-49.30149841,653,-3,S,America/Belem,airport
Campo Délio Jardim de Mattos Airport,Rio De Janeiro,Brazil,\N,SBAF,-22.875099,-43.384701,110,-3,S,America/Sao_Paulo,airport
Amapá Airport,Amapa,Brazil,\N,SBAM,2.07751,-50.8582,45,-3,S,America/Fortaleza,airport
Araraquara Airport,Araracuara,Brazil,AQA,SBAQ,-21.81200027,-48.13299942,2334,-3,S,America/Sao_Paulo,airport
Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-10.98400021,-37.07030106,23,-3,S,America/Fortaleza,airport
Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,AFL,SBAT,-9.866389275,-56.10499954,948,-4,S,America/Campo_Grande,airport
Araçatuba Airport,Aracatuba,Brazil,ARU,SBAU,-21.1413002,-50.42470169,1361,-3,S,America/Sao_Paulo,airport
Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL,SBBE,-1.37925005,-48.47629929,54,-3,S,America/Belem,airport
Comandante Gustavo Kraemer Airport,Bage,Brazil,BGX,SBBG,-31.39049911,-54.11220169,600,-3,S,America/Sao_Paulo,airport
Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Brazil,PLU,SBBH,-19.8512001,-43.95059967,2589,-3,S,America/Sao_Paulo,airport
Bacacheri Airport,Curitiba,Brazil,BFH,SBBI,-25.40509987,-49.23199844,3057,-3,S,America/Sao_Paulo,airport
Major Brigadeiro Doorgal Borges Airport,Barbacena,Brazil,\N,SBBQ,-21.2672,-43.761101,3657,-3,S,America/Sao_Paulo,airport
Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,BSB,SBBR,-15.86916733,-47.92083359,3497,-3,S,America/Sao_Paulo,airport
Bauru Airport,Bauru,Brazil,BAU,SBBU,-22.34499931,-49.05379868,2025,-3,S,America/Sao_Paulo,airport
Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,BVB,SBBV,2.841388941,-60.6922226,276,-4,S,America/Boa_Vista,airport
Barra do Garças Airport,Barra Do Garcas,Brazil,BPG,SBBW,-15.86130047,-52.38890076,1147,-4,S,America/Campo_Grande,airport
Cascavel Airport,Cascavel,Brazil,CAC,SBCA,-25.00029945,-53.50080109,2473,-3,S,America/Sao_Paulo,airport
Cachimbo Airport,Itaituba,Brazil,\N,SBCC,-9.333939552,-54.9654007,1762,-3,S,America/Belem,airport
Tancredo Neves International Airport,Belo Horizonte,Brazil,CNF,SBCF,-19.62444305,-43.9719429,2715,-3,S,America/Sao_Paulo,airport
Campo Grande Airport,Campo Grande,Brazil,CGR,SBCG,-20.46870041,-54.67250061,1833,-4,S,America/Campo_Grande,airport
Serafin Enoss Bertaso Airport,Chapeco,Brazil,XAP,SBCH,-27.13419914,-52.65660095,2146,-3,S,America/Sao_Paulo,airport
Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,CLN,SBCI,-7.320439816,-47.45869827,565,-3,S,America/Fortaleza,airport
Diomício Freitas Airport,Criciuma,Brazil,CCM,SBCM,-28.72444344,-49.42139053,93,-3,S,America/Sao_Paulo,airport
Canoas Air Force Base,Porto Alegre,Brazil,\N,SBCO,-29.945928,-51.144413,26,-3,S,America/Sao_Paulo,airport
Bartolomeu Lisandro Airport,Campos,Brazil,CAW,SBCP,-21.69829941,-41.30170059,57,-3,S,America/Sao_Paulo,airport
Corumbá International Airport,Corumba,Brazil,CMG,SBCR,-19.01194382,-57.67139053,461,-4,S,America/Campo_Grande,airport
Afonso Pena Airport,Curitiba,Brazil,CWB,SBCT,-25.5284996,-49.17580032,2988,-3,S,America/Sao_Paulo,airport
Caravelas Airport,Caravelas,Brazil,CRQ,SBCV,-17.65229988,-39.25310135,36,-3,S,America/Fortaleza,airport
Hugo Cantergiani Regional Airport,Caxias Do Sul,Brazil,CXJ,SBCX,-29.19709969,-51.1875,2472,-3,S,America/Sao_Paulo,airport
Marechal Rondon Airport,Cuiaba,Brazil,CGB,SBCY,-15.65289974,-56.11669922,617,-4,S,America/Campo_Grande,airport
Cruzeiro do Sul Airport,Cruzeiro do Sul,Brazil,CZS,SBCZ,-7.599909782,-72.76950073,637,-5,S,America/Rio_Branco,airport
Presidente Prudente Airport,President Prudente,Brazil,PPB,SBDN,-22.17510033,-51.42459869,1477,-3,S,America/Sao_Paulo,airport
Eduardo Gomes International Airport,Manaus,Brazil,MAO,SBEG,-3.038609982,-60.04970169,264,-4,S,America/Boa_Vista,airport
Jacareacanga Airport,Jacare-acanga,Brazil,JCR,SBEK,-6.233160019,-57.77690125,323,-3,S,America/Belem,airport
São Pedro da Aldeia Airport,Sao Pedro Da Aldeia,Brazil,\N,SBES,-22.81290054,-42.09260178,61,-3,S,America/Sao_Paulo,airport
Cataratas International Airport,Foz Do Iguacu,Brazil,IGU,SBFI,-25.60027885,-54.48500061,786,-3,S,America/Sao_Paulo,airport
Hercílio Luz International Airport,Florianopolis,Brazil,FLN,SBFL,-27.67027855,-48.55250168,16,-3,S,America/Sao_Paulo,airport
Fernando de Noronha Airport,Fernando Do Noronha,Brazil,FEN,SBFN,-3.85493,-32.423302,193,-3,S,America/Fortaleza,airport
Furnas Airport,Alpinopolis,Brazil,\N,SBFU,-20.70280075,-46.33530045,2413,-3,S,America/Sao_Paulo,airport
Pinto Martins International Airport,Fortaleza,Brazil,FOR,SBFZ,-3.776279926,-38.5326004,82,-3,S,America/Fortaleza,airport
Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,GIG,SBGL,-22.80999947,-43.25055695,28,-3,S,America/Sao_Paulo,airport
Guajará-Mirim Airport,Guajara-mirim,Brazil,GJM,SBGM,-10.78639984,-65.28479767,478,-4,S,America/Boa_Vista,airport
Santa Genoveva Airport,Goiania,Brazil,GYN,SBGO,-16.63199997,-49.22069931,2450,-3,S,America/Sao_Paulo,airport
EMBRAER - Unidade Gavião Peixoto Airport,Macae,Brazil,\N,SBGP,-21.77370071,-48.40510178,1998,-3,S,America/Sao_Paulo,airport
Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,SBGR,-23.43555641,-46.47305679,2459,-3,S,America/Sao_Paulo,airport
Guaratinguetá Airport,Guaratingueta,Brazil,GUJ,SBGW,-22.79159927,-45.20479965,1761,-3,S,America/Sao_Paulo,airport
Altamira Airport,Altamira,Brazil,ATM,SBHT,-3.253910065,-52.25400162,369,-3,S,America/Belem,airport
Itacoatiara Airport,Itaituba,Brazil,ITA,SBIC,-3.12725997,-58.48120117,142,-4,S,America/Boa_Vista,airport
Itaituba Airport,Itaituba,Brazil,ITB,SBIH,-4.242340088,-56.0007019,110,-3,S,America/Belem,airport
Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS,SBIL,-14.81599998,-39.03319931,15,-3,S,America/Fortaleza,airport
Usiminas Airport,Ipatinga,Brazil,IPN,SBIP,-19.47069931,-42.48759842,784,-3,S,America/Sao_Paulo,airport
Francisco Vilela do Amaral Airport,Itumbiara,Brazil,ITR,SBIT,-18.44470024,-49.21340179,1630,-3,S,America/Sao_Paulo,airport
Prefeito Renato Moreira Airport,Imperatriz,Brazil,IMP,SBIZ,-5.53129,-47.459999,432,-3,S,America/Fortaleza,airport
Belém/Brigadeiro Protásio de Oliveira Airport,Belem,Brazil,\N,SBJC,-1.414160013,-48.46070099,52,-3,S,America/Belem,airport
Francisco de Assis Airport,Juiz De Fora,Brazil,JDF,SBJF,-21.79150009,-43.38679886,2989,-3,S,America/Sao_Paulo,airport
Presidente Castro Pinto International Airport,Joao Pessoa,Brazil,JPA,SBJP,-7.145833015,-34.94861221,217,-3,S,America/Fortaleza,airport
Lauro Carneiro de Loyola Airport,Joinville,Brazil,JOI,SBJV,-26.22450066,-48.79740143,15,-3,S,America/Sao_Paulo,airport
Presidente João Suassuna Airport,Campina Grande,Brazil,CPV,SBKG,-7.26992,-35.8964,1646,-3,S,America/Fortaleza,airport
Viracopos International Airport,Campinas,Brazil,VCP,SBKP,-23.00740051,-47.1344986,2170,-3,S,America/Sao_Paulo,airport
Lages Airport,Lajes,Brazil,LAJ,SBLJ,-27.78210068,-50.28150177,3065,-3,S,America/Sao_Paulo,airport
Lins Airport,Lins,Brazil,LIP,SBLN,-21.66399956,-49.73049927,1559,-3,S,America/Sao_Paulo,airport
Governador José Richa Airport,Londrina,Brazil,LDB,SBLO,-23.33359909,-51.13010025,1867,-3,S,America/Sao_Paulo,airport
Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,LAZ,SBLP,-13.26210022,-43.40810013,1454,-3,S,America/Fortaleza,airport
Lagoa Santa Airport,Lagoa Santa,Brazil,\N,SBLS,-19.66160011,-43.89640045,2795,-3,S,America/Sao_Paulo,airport
João Correa da Rocha Airport,Maraba,Brazil,MAB,SBMA,-5.368589878,-49.13800049,357,-3,S,America/Belem,airport
Monte Dourado Airport,Almeirim,Brazil,MEU,SBMD,-0.889839,-52.6022,677,-3,S,America/Belem,airport
Regional de Maringá - Sílvio Nane Junior Airport,Maringa,Brazil,MGF,SBMG,-23.4794445,-52.01222229,1788,-3,S,America/Sao_Paulo,airport
Mário Ribeiro Airport,Montes Claros,Brazil,MOC,SBMK,-16.70689964,-43.81890106,2191,-3,S,America/Sao_Paulo,airport
Ponta Pelada Airport,Manaus,Brazil,PLL,SBMN,-3.146039963,-59.98630142,267,-4,S,America/Boa_Vista,airport
Zumbi dos Palmares Airport,Maceio,Brazil,MCZ,SBMO,-9.510809898,-35.79169846,387,-3,S,America/Fortaleza,airport
Alberto Alcolumbre Airport,Macapa,Brazil,MCP,SBMQ,0.050664,-51.07220078,56,-3,S,America/Fortaleza,airport
Dix-Sept Rosado Airport,Mocord,Brazil,MVF,SBMS,-5.201920032,-37.36429977,76,-3,S,America/Fortaleza,airport
Campo de Marte Airport,Sao Paulo,Brazil,\N,SBMT,-23.50909996,-46.63779831,2368,-3,S,America/Sao_Paulo,airport
Manicoré Airport,Manicore,Brazil,MNX,SBMY,-5.81137991,-61.27830124,174,-4,S,America/Boa_Vista,airport
Ministro Victor Konder International Airport,Navegantes,Brazil,NVT,SBNF,-26.879999,-48.651402,18,-3,S,America/Sao_Paulo,airport
Santo Ângelo Airport,Santo Angelo,Brazil,GEL,SBNM,-28.2817,-54.169102,1056,-3,S,America/Sao_Paulo,airport
Governador Aluízio Alves International Airport,Natal,Brazil,NAT,SBSG,-5.768056,-35.376111,272,-3,S,America/Fortaleza,airport
Oiapoque Airport,Oioiapoque,Brazil,OYK,SBOI,3.855489969,-51.7969017,63,-3,S,America/Fortaleza,airport
Salgado Filho Airport,Porto Alegre,Brazil,POA,SBPA,-29.99440002,-51.17139816,11,-3,S,America/Sao_Paulo,airport
Prefeito Doutor João Silva Filho Airport,Parnaiba,Brazil,PHB,SBPB,-2.893749952,-41.73199844,16,-3,S,America/Fortaleza,airport
Poços de Caldas - Embaixador Walther Moreira Salles Airport,Pocos De Caldas,Brazil,POO,SBPC,-21.84300041,-46.56790161,4135,-3,S,America/Sao_Paulo,airport
Lauro Kurtz Airport,Passo Fundo,Brazil,PFB,SBPF,-28.243999,-52.326599,2376,-3,S,America/Sao_Paulo,airport
João Simões Lopes Neto International Airport,Pelotas,Brazil,PET,SBPK,-31.718399,-52.327702,59,-3,S,America/Sao_Paulo,airport
Senador Nilo Coelho Airport,Petrolina,Brazil,PNZ,SBPL,-9.362409592,-40.56909943,1263,-3,S,America/Fortaleza,airport
Porto Nacional Airport,Porto Nacional,Brazil,PNB,SBPN,-10.71940041,-48.39970016,870,-3,S,America/Fortaleza,airport
Ponta Porã Airport,Ponta Pora,Brazil,PMG,SBPP,-22.5496006,-55.70259857,2156,-4,S,America/Campo_Grande,airport
Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,PVH,SBPV,-8.709289551,-63.90230179,290,-4,S,America/Boa_Vista,airport
Plácido de Castro Airport,Rio Branco,Brazil,RBR,SBRB,-9.868888855,-67.89805603,633,-5,S,America/Rio_Branco,airport
Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.126489639,-34.92359924,33,-3,S,America/Fortaleza,airport
Santos Dumont Airport,Rio De Janeiro,Brazil,SDU,SBRJ,-22.91049957,-43.1631012,11,-3,S,America/Sao_Paulo,airport
Leite Lopes Airport,Ribeirao Preto,Brazil,RAO,SBRP,-21.13638878,-47.77666855,1806,-3,S,America/Sao_Paulo,airport
Santa Cruz Air Force Base,Rio De Janeiro,Brazil,SNZ,SBSC,-22.9324,-43.719101,10,-3,S,America/Sao_Paulo,airport
Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,Brazil,SJK,SBSJ,-23.22920036,-45.86149979,2120,-3,S,America/Sao_Paulo,airport
Marechal Cunha Machado International Airport,Sao Luis,Brazil,SLZ,SBSL,-2.58536005,-44.23410034,178,-3,S,America/Fortaleza,airport
Congonhas Airport,Sao Paulo,Brazil,CGH,SBSP,-23.62611008,-46.65638733,2631,-3,S,America/Sao_Paulo,airport
Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,SJP,SBSR,-20.8166008,-49.40650177,1784,-3,S,America/Sao_Paulo,airport
Base Aérea de Santos Airport,Santos,Brazil,SSZ,SBST,-23.92805672,-46.29972076,10,-3,S,America/Sao_Paulo,airport
Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,SSA,SBSV,-12.9086113,-38.32249832,64,-3,S,America/Fortaleza,airport
Trombetas Airport,Oriximina,Brazil,TMT,SBTB,-1.489599943,-56.39680099,287,-3,S,America/Belem,airport
Senador Petrônio Portela Airport,Teresina,Brazil,THE,SBTE,-5.059939861,-42.82350159,219,-3,S,America/Fortaleza,airport
Tefé Airport,Tefe,Brazil,TFF,SBTF,-3.382940054,-64.72409821,188,-4,S,America/Boa_Vista,airport
Tarauacá Airport,Tarauaca,Brazil,TRQ,SBTK,-8.155260086,-70.78330231,646,-5,S,America/Rio_Branco,airport
Telêmaco Borba Airport,Telemaco Borba,Brazil,TEC,SBTL,-24.31780052,-50.65159988,2610,-3,S,America/Sao_Paulo,airport
Tiriós Airport,Obidos Tirios,Brazil,\N,SBTS,2.22347,-55.946098,1127,-3,S,America/Belem,airport
Tabatinga Airport,Tabatinga,Brazil,TBT,SBTT,-4.255670071,-69.93579865,279,-4,S,America/Boa_Vista,airport
Tucuruí Airport,Tucurui,Brazil,TUR,SBTU,-3.786010027,-49.72029877,830,-3,S,America/Belem,airport
São Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,SJL,SBUA,-0.14835,-66.9855,251,-4,S,America/Boa_Vista,airport
Paulo Afonso Airport,Paulo Alfonso,Brazil,PAV,SBUF,-9.40087986,-38.25059891,883,-3,S,America/Fortaleza,airport
Rubem Berta Airport,Uruguaiana,Brazil,URG,SBUG,-29.78219986,-57.03820038,256,-3,S,America/Sao_Paulo,airport
Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,UDI,SBUL,-18.883612,-48.225277,3094,-3,S,America/Sao_Paulo,airport
Mário de Almeida Franco Airport,Uberaba,Brazil,UBA,SBUR,-19.76472282,-47.96611023,2655,-3,S,America/Sao_Paulo,airport
Major Brigadeiro Trompowsky Airport,Varginha,Brazil,VAG,SBVG,-21.59009933,-45.47330093,3025,-3,S,America/Sao_Paulo,airport
Brigadeiro Camarão Airport,Vilhena,Brazil,BVH,SBVH,-12.69439983,-60.09830093,2018,-4,S,America/Boa_Vista,airport
Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX,SBVT,-20.258057,-40.286388,11,-3,S,America/Sao_Paulo,airport
Iauaretê Airport,Iauarete,Brazil,\N,SBYA,0.607500017,-69.18579865,345,-4,S,America/Boa_Vista,airport
Campo Fontenelle Airport,Piracununga,Brazil,QPS,SBYS,-21.98460007,-47.33480072,1968,-3,S,America/Sao_Paulo,airport
Chacalluta Airport,Arica,Chile,ARI,SCAR,-18.348499,-70.338699,167,-4,S,America/Santiago,airport
Balmaceda Airport,Balmaceda,Chile,BBA,SCBA,-45.91609955,-71.6894989,1722,-4,S,America/Santiago,airport
El Bosque Airport,Santiago,Chile,\N,SCBQ,-33.5617981,-70.68840027,1844,-4,S,America/Santiago,airport
Chile Chico Airport,Chile Chico,Chile,CCH,SCCC,-46.58330154,-71.68740082,1070,-4,S,America/Santiago,airport
El Loa Airport,Calama,Chile,CJC,SCCF,-22.49819946,-68.9036026,7543,-4,S,America/Santiago,airport
Gral. Bernardo O´Higgins Airport,Chillan,Chile,YAI,SCCH,-36.58250046,-72.03140259,495,-4,S,America/Santiago,airport
Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,Chile,PUQ,SCCI,-53.002602,-70.854599,139,-4,S,America/Santiago,airport
Teniente Vidal Airport,Coyhaique,Chile,GXQ,SCCY,-45.59420013,-72.10610199,1020,-4,S,America/Santiago,airport
Diego Aracena Airport,Iquique,Chile,IQQ,SCDA,-20.53520012,-70.1812973,155,-4,S,America/Santiago,airport
Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,SCL,SCEL,-33.39300156,-70.78579712,1555,-4,S,America/Santiago,airport
Andrés Sabella Gálvez International Airport,Antofagasta,Chile,ANF,SCFA,-23.444501,-70.445099,455,-4,S,America/Santiago,airport
Capitan Fuentes Martinez Airport Airport,Porvenir,Chile,WPR,SCFM,-53.25370026,-70.31919861,104,-4,S,America/Santiago,airport
Futaleufú Airport,Futaleufu,Chile,FFU,SCFT,-43.18920135,-71.85109711,1148,-4,S,America/Santiago,airport
María Dolores Airport,Los Angeles,Chile,LSQ,SCGE,-37.40169907,-72.42539978,374,-4,S,America/Santiago,airport
Guardiamarina Zañartu Airport,Puerto Williams,Chile,WPU,SCGZ,-54.93109894,-67.626297,88,-4,S,America/Santiago,airport
Carriel Sur Airport,Concepcion,Chile,CCP,SCIE,-36.772701,-73.063103,26,-4,S,America/Santiago,airport
Mataveri Airport,Easter Island,Chile,IPC,SCIP,-27.16480064,-109.4219971,227,-6,S,Pacific/Easter,airport
Cañal Bajo Carlos - Hott Siebert Airport,Osorno,Chile,ZOS,SCJO,-40.61119843,-73.06099701,187,-4,S,America/Santiago,airport
Vallenar Airport,Vallenar,Chile,VLR,SCLL,-28.59639931,-70.7559967,1725,-4,S,America/Santiago,airport
De La Independencia Airport,Rancagua,Chile,QRC,SCRG,-34.17369843,-70.77570343,1446,-4,S,America/Santiago,airport
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM,SCRM,-62.19079971,-58.98669815,147,12,U,Antarctica/South_Pole,airport
La Florida Airport,La Serena,Chile,LSC,SCSE,-29.916201,-71.199501,481,-4,S,America/Santiago,airport
Eulogio Sánchez Airport,Santiago,Chile,\N,SCTB,-33.45629883,-70.54669952,2129,-4,S,America/Santiago,airport
Maquehue Airport,Temuco,Chile,PZS,SCTC,-38.76679993,-72.63710022,304,-4,S,America/Santiago,airport
El Tepual Airport,Puerto Montt,Chile,PMC,SCTE,-41.43889999,-73.09400177,294,-4,S,America/Santiago,airport
Chaitén Airport,Chaiten,Chile,WCH,SCTN,-42.93280029,-72.69909668,13,-4,S,America/Santiago,airport
Pichoy Airport,Valdivia,Chile,ZAL,SCVD,-39.65000153,-73.08609772,59,-4,S,America/Santiago,airport
Chachoán Airport,Ambato,Ecuador,ATF,SEAM,-1.212069988,-78.57460022,8502,-5,U,America/Guayaquil,airport
Hacienda Clementina Airport,Clementia,Ecuador,\N,SECM,-1.706269979,-79.37889862,328,-5,U,America/Guayaquil,airport
Francisco De Orellana Airport,Coca,Ecuador,OCC,SECO,-0.462886006,-76.98680115,834,-5,U,America/Guayaquil,airport
Mariscal Lamar Airport,Cuenca,Ecuador,CUE,SECU,-2.88947,-78.984398,8306,-5,U,America/Guayaquil,airport
Seymour Airport,Galapagos,Ecuador,GPS,SEGS,-0.453758001,-90.26589966,207,-6,U,Pacific/Galapagos,airport
José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,GYE,SEGU,-2.15741992,-79.88359833,19,-5,U,America/Guayaquil,airport
Gualaquiza Airport,Gualaquiza,Ecuador,\N,SEGZ,-3.423209906,-78.56700134,2640,-5,U,America/Guayaquil,airport
Atahualpa Airport,Ibarra,Ecuador,\N,SEIB,0.33841899,-78.13639832,7304,-5,U,America/Guayaquil,airport
Km 192 Airport,Km-192,Ecuador,\N,SEKK,0.184202999,-79.39199829,1247,-5,U,America/Guayaquil,airport
Hacienda La Julia Airport,La Julia,Ecuador,\N,SELJ,-1.704380035,-79.5522995,50,-5,U,America/Guayaquil,airport
Cotopaxi International Airport,Latacunga,Ecuador,LTX,SELT,-0.906833,-78.615799,9205,-5,U,America/Guayaquil,airport
Jose Maria Velasco Ibarra Airport,Macara,Ecuador,MRR,SEMA,-4.378230095,-79.94100189,1508,-5,U,America/Guayaquil,airport
Coronel E Carvajal Airport,Macas,Ecuador,XMS,SEMC,-2.299170017,-78.1207962,3452,-5,U,America/Guayaquil,airport
General Manuel Serrano Airport,Machala,Ecuador,MCH,SEMH,-3.2689,-79.961601,11,-5,U,America/Guayaquil,airport
El Carmen Airport,Montalvo,Ecuador,\N,SEMO,-2.067009926,-76.97570038,960,-5,U,America/Guayaquil,airport
Eloy Alfaro International Airport,Manta,Ecuador,MEC,SEMT,-0.946078002,-80.67880249,48,-5,U,America/Guayaquil,airport
Maragrosa Airport,Maragrosa,Ecuador,\N,SEMX,-2.851099968,-79.8035965,18,-5,U,America/Guayaquil,airport
Amable Calle Gutierrez Airport,Pasaje,Ecuador,\N,SEPS,-3.319669962,-79.76920319,22,-5,U,America/Guayaquil,airport
Reales Tamarindos Airport,Portoviejo,Ecuador,PVO,SEPV,-1.041650057,-80.47219849,130,-5,U,America/Guayaquil,airport
Quevedo Airport,Quevedo,Ecuador,\N,SEQE,-0.989400029,-79.46510315,350,-5,U,America/Guayaquil,airport
Mariscal Sucre International Airport,Quito,Ecuador,UIO,SEQM,-0.129166667,-78.3575,7841,-5,U,America/Guayaquil,airport
Chimborazo Airport,Riobamba,Ecuador,\N,SERB,-1.653429985,-78.65609741,9151,-5,U,America/Guayaquil,airport
Santa Rosa International Airport,Santa Rosa,Ecuador,ETR,SERO,-3.441986,-79.996957,20,-5,U,America/Guayaquil,airport
General Ulpiano Paez Airport,Salinas,Ecuador,SNC,SESA,-2.20499,-80.988899,18,-5,U,America/Guayaquil,airport
Santo Domingo de Los Colorados Airport,Santo Domingo,Ecuador,\N,SESD,-0.248221993,-79.21440125,1714,-5,U,America/Guayaquil,airport
Taura Airport,Taura,Ecuador,\N,SETA,-2.261039972,-79.68019867,56,-5,U,America/Guayaquil,airport
Mayor Galo Torres Airport,Tena,Ecuador,\N,SETE,-0.986766994,-77.81950378,1708,-5,U,America/Guayaquil,airport
Tarapoa Airport,Tarapoa,Ecuador,TPC,SETR,-0.122956,-76.33779907,814,-5,U,America/Guayaquil,airport
Teniente Coronel Luis a Mantilla Airport,Tulcan,Ecuador,TUA,SETU,0.809505999,-77.70809937,9649,-5,U,America/Guayaquil,airport
Silvio Pettirossi International Airport,Asuncion,Paraguay,ASU,SGAS,-25.23999977,-57.52000046,292,-4,S,America/Asuncion,airport
Juan De Ayolas Airport,Ayolas,Paraguay,AYO,SGAY,-27.370554,-56.854064,223,-4,S,America/Asuncion,airport
Teniente Col Carmelo Peralta Airport,Conception,Paraguay,CIO,SGCO,-23.442363,-57.427253,253,-4,S,America/Asuncion,airport
Itaipú Airport,Itaipu,Paraguay,\N,SGIB,-25.407519,-54.619377,762,-4,S,America/Asuncion,airport
Dr. Luis Maria Argaña International Airport,Mariscal Estigarribia,Paraguay,ESG,SGME,-22.04999924,-60.61999893,553,-4,S,America/Asuncion,airport
Carlos Miguel Gimenez Airport,Pilar,Paraguay,PIL,SGPI,-26.881224,-58.318026,249,-4,S,America/Asuncion,airport
El Eden Airport,Armenia,Colombia,AXM,SKAR,4.45278,-75.7664,3990,-5,U,America/Bogota,airport
Tres De Mayo Airport,Puerto Asis,Colombia,PUU,SKAS,0.505228,-76.5008,815,-5,U,America/Bogota,airport
Las Flores Airport,El Banco,Colombia,ELB,SKBC,9.04554,-73.9749,111,-5,U,America/Bogota,airport
Palonegro Airport,Bucaramanga,Colombia,BGA,SKBG,7.1265,-73.1848,3897,-5,U,America/Bogota,airport
El Dorado International Airport,Bogota,Colombia,BOG,SKBO,4.70159,-74.1469,8361,-5,U,America/Bogota,airport
Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ,SKBQ,10.8896,-74.7808,98,-5,U,America/Bogota,airport
José Celestino Mutis Airport,Bahia Solano,Colombia,BSC,SKBS,6.20292,-77.3947,80,-5,U,America/Bogota,airport
Gerardo Tobar López Airport,Buenaventura,Colombia,BUN,SKBU,3.81963,-76.9898,48,-5,U,America/Bogota,airport
Camilo Daza International Airport,Cucuta,Colombia,CUC,SKCC,7.92757,-72.5115,1096,-5,U,America/Bogota,airport
Rafael Nuñez International Airport,Cartagena,Colombia,CTG,SKCG,10.4424,-75.513,4,-5,U,America/Bogota,airport
Alfonso Bonilla Aragon International Airport,Cali,Colombia,CLO,SKCL,3.54322,-76.3816,3162,-5,U,America/Bogota,airport
La Florida Airport,Tumaco,Colombia,TCO,SKCO,1.81442,-78.7492,8,-5,U,America/Bogota,airport
Las Brujas Airport,Corozal,Colombia,CZU,SKCZ,9.33274,-75.2856,528,-5,U,America/Bogota,airport
Yariguíes Airport,Barrancabermeja,Colombia,EJA,SKEJ,7.02433,-73.8068,412,-5,U,America/Bogota,airport
Gustavo Artunduaga Paredes Airport,Florencia,Colombia,FLA,SKFL,1.58919,-75.5644,803,-5,U,America/Bogota,airport
Santiago Vila Airport,Girardot,Colombia,GIR,SKGI,4.27624,-74.7967,900,-5,U,America/Bogota,airport
Juan Casiano Airport,Guapi,Colombia,GPI,SKGP,2.57013,-77.8986,164,-5,U,America/Bogota,airport
Guaymaral Airport,Guaymaral,Colombia,\N,SKGY,4.81233,-74.0649,8390,-5,U,America/Bogota,airport
Perales Airport,Ibague,Colombia,IBE,SKIB,4.42161,-75.1333,2999,-5,U,America/Bogota,airport
San Luis Airport,Ipiales,Colombia,IPI,SKIP,0.861925,-77.6718,9765,-5,U,America/Bogota,airport
Antonio Roldan Betancourt Airport,Carepa,Colombia,APO,SKLC,7.81196,-76.7164,46,-5,U,America/Bogota,airport
Jorge Isaac Airport,La Mina,Colombia,MCJ,SKLM,11.2325,-72.4901,281,-5,U,America/Bogota,airport
Alfredo Vásquez Cobo International Airport,Leticia,Colombia,LET,SKLT,-4.19355,-69.9432,277,-5,U,America/Bogota,airport
Enrique Olaya Herrera Airport,Medellin,Colombia,EOH,SKMD,6.220549,-75.590582,4949,-5,U,America/Bogota,airport
Baracoa Airport,Magangue,Colombia,MGN,SKMG,9.28474,-74.8461,178,-5,U,America/Bogota,airport
Los Garzones Airport,Monteria,Colombia,MTR,SKMR,8.82374,-75.8258,36,-5,U,America/Bogota,airport
Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP,SKMU,1.25366,-70.2339,680,-5,U,America/Bogota,airport
La Nubia Airport,Manizales,Colombia,MZL,SKMZ,5.0296,-75.4647,6871,-5,U,America/Bogota,airport
Benito Salas Airport,Neiva,Colombia,NVA,SKNV,2.95015,-75.294,1464,-5,U,America/Bogota,airport
Aguas Claras Airport,Ocana,Colombia,OCV,SKOC,8.31506,-73.3583,3850,-5,U,America/Bogota,airport
Otu Airport,Otu,Colombia,OTU,SKOT,7.01037,-74.7155,2060,-5,U,America/Bogota,airport
